PR,Result Category 1,Result Category 2,Result Category 3,Result Category 4,Result Category 5,Result Category 6,Result Category 7,Result Category 8,Result Category 9,Result Category 10,Result Category 11,Result Category 12,Result Category 13,Result Category 14,Result Category 15,Result Category 16,Truth Category 1,Truth Category 2,Truth Category 3,Truth Category 4,Truth Category 5,Truth Category 6,Truth Category 7,Truth Category 8,Truth Category 9,Truth Category 10,Truth Category 11,Truth Category 12,Truth Category 13,Truth Category 14,Truth Category 15,Truth Category 16
1200,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
844,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
545,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
107,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
337,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
803,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
92,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
83,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1451,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1020,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
