PR,GPU Name,CPU %,Mem %,GPU %
1200,NVIDIA RTX 4000 Ada Generation,0.9,20.0,22.76
844,NVIDIA RTX 4000 Ada Generation,0.0,20.0,22.76
545,NVIDIA RTX 4000 Ada Generation,0.0,20.0,22.77
107,NVIDIA RTX 4000 Ada Generation,0.0,20.0,22.77
337,NVIDIA RTX 4000 Ada Generation,0.6,19.9,22.77
803,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
92,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
83,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1451,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1020,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.76
12,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
5,NVIDIA RTX 4000 Ada Generation,1.6,19.9,22.77
1408,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1326,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
243,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
888,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
906,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1075,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.76
1102,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1846,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1357,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
2049,NVIDIA RTX 4000 Ada Generation,2.5,19.8,22.76
1581,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
142,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1401,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
679,NVIDIA RTX 4000 Ada Generation,0.0,19.8,22.76
1385,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
765,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.77
743,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1068,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1752,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.76
1361,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
1827,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.76
1833,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
2013,NVIDIA RTX 4000 Ada Generation,0.0,20.0,22.76
1768,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1549,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.77
636,NVIDIA RTX 4000 Ada Generation,0.3,19.9,22.76
641,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
1328,NVIDIA RTX 4000 Ada Generation,0.0,19.9,22.76
