PR,GPU Name,CPU %,Mem %,GPU %
1200,NVIDIA RTX 4000 Ada Generation,0.6,15.6,22.31
844,NVIDIA RTX 4000 Ada Generation,0.0,15.5,22.55
545,NVIDIA RTX 4000 Ada Generation,0.3,15.5,22.55
107,NVIDIA RTX 4000 Ada Generation,0.0,15.6,22.55
337,NVIDIA RTX 4000 Ada Generation,0.3,15.6,22.55
803,NVIDIA RTX 4000 Ada Generation,0.0,15.7,22.55
92,NVIDIA RTX 4000 Ada Generation,0.3,15.7,22.56
83,NVIDIA RTX 4000 Ada Generation,0.0,15.7,22.55
1451,NVIDIA RTX 4000 Ada Generation,0.0,15.7,22.55
1020,NVIDIA RTX 4000 Ada Generation,0.0,15.7,22.56
12,NVIDIA RTX 4000 Ada Generation,0.0,15.7,22.55
5,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.55
1408,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1326,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
243,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
888,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.56
906,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1075,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.56
1102,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.56
1846,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.55
1357,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
2049,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.56
1581,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.55
142,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1401,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.56
679,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1385,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
765,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.55
743,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1068,NVIDIA RTX 4000 Ada Generation,0.3,15.8,22.56
1752,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1361,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.57
1827,NVIDIA RTX 4000 Ada Generation,0.0,15.8,22.55
1833,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.55
2013,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.55
1768,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.55
1549,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.56
636,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.56
641,NVIDIA RTX 4000 Ada Generation,0.3,15.9,22.55
1328,NVIDIA RTX 4000 Ada Generation,0.0,15.9,22.56
