PR,GPU Name,CPU %,Mem %,GPU %
1200,NVIDIA RTX 4000 Ada Generation,0.0,19.1,26.89
844,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.81
545,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
107,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
337,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
803,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
92,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
83,NVIDIA RTX 4000 Ada Generation,0.3,19.2,25.8
1451,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1020,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
12,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
5,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1408,NVIDIA RTX 4000 Ada Generation,0.6,19.1,25.8
1326,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
243,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
888,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
906,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1075,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1102,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1846,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1357,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
2049,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1581,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
142,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1401,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
679,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1385,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
765,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
743,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1068,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1752,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1361,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1827,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1833,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
2013,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1768,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
1549,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
636,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
641,NVIDIA RTX 4000 Ada Generation,0.3,19.1,25.8
1328,NVIDIA RTX 4000 Ada Generation,0.0,19.1,25.8
