PR,GPU Name,CPU %,Mem %,GPU %
157,NVIDIA RTX 4000 Ada Generation,0.0,20.4,23.85
279,NVIDIA RTX 4000 Ada Generation,0.0,20.4,23.2
328,NVIDIA RTX 4000 Ada Generation,0.3,20.3,23.2
329,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.2
444,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.21
493,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.2
527,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.2
576,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.2
588,NVIDIA RTX 4000 Ada Generation,0.0,20.3,23.21
623,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
632,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
638,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
645,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
647,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
735,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
752,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
758,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.21
786,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
798,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
808,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
956,NVIDIA RTX 4000 Ada Generation,0.6,20.2,23.2
985,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
1050,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
1273,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1344,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
1364,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1431,NVIDIA RTX 4000 Ada Generation,0.3,20.2,23.2
1455,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
1578,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1627,NVIDIA RTX 4000 Ada Generation,0.6,20.2,23.2
1638,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
1697,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1763,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1820,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1890,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.21
2127,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
578,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
97,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
1182,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
928,NVIDIA RTX 4000 Ada Generation,0.0,20.2,23.2
