PR,GPU Name,CPU %,Mem %,GPU %
157,NVIDIA RTX 4000 Ada Generation,1.2,20.6,22.31
279,NVIDIA RTX 4000 Ada Generation,0.0,20.9,22.55
328,NVIDIA RTX 4000 Ada Generation,0.3,20.9,22.55
329,NVIDIA RTX 4000 Ada Generation,14.0,21.0,22.55
444,NVIDIA RTX 4000 Ada Generation,0.0,21.0,22.55
493,NVIDIA RTX 4000 Ada Generation,0.3,21.0,22.55
527,NVIDIA RTX 4000 Ada Generation,0.3,21.0,22.55
576,NVIDIA RTX 4000 Ada Generation,0.0,21.0,22.55
588,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.56
623,NVIDIA RTX 4000 Ada Generation,0.3,21.0,22.55
632,NVIDIA RTX 4000 Ada Generation,0.9,21.1,22.55
638,NVIDIA RTX 4000 Ada Generation,0.0,21.0,22.55
645,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.55
647,NVIDIA RTX 4000 Ada Generation,0.3,21.1,22.55
735,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.55
752,NVIDIA RTX 4000 Ada Generation,0.0,21.0,22.55
758,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.55
786,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.56
798,NVIDIA RTX 4000 Ada Generation,0.0,21.2,22.56
808,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.55
956,NVIDIA RTX 4000 Ada Generation,0.0,21.1,22.55
985,NVIDIA RTX 4000 Ada Generation,0.0,21.2,22.55
1050,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1273,NVIDIA RTX 4000 Ada Generation,0.0,21.2,22.55
1344,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.56
1364,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1431,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.56
1455,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.57
1578,NVIDIA RTX 4000 Ada Generation,0.3,21.3,22.55
1627,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1638,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1697,NVIDIA RTX 4000 Ada Generation,0.0,21.4,22.55
1763,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.56
1820,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1890,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.57
2127,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
578,NVIDIA RTX 4000 Ada Generation,0.3,21.4,22.55
97,NVIDIA RTX 4000 Ada Generation,0.0,21.3,22.55
1182,NVIDIA RTX 4000 Ada Generation,0.3,21.7,22.55
928,NVIDIA RTX 4000 Ada Generation,0.0,21.7,22.55
