PR,GPU Name,CPU %,Mem %,GPU %
157,NVIDIA RTX 4000 Ada Generation,1.2,22.3,23.69
279,NVIDIA RTX 4000 Ada Generation,0.3,22.3,23.48
328,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
329,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
444,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
493,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
527,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
576,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
588,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
623,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
632,NVIDIA RTX 4000 Ada Generation,0.9,22.4,23.48
638,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
645,NVIDIA RTX 4000 Ada Generation,0.3,22.3,23.48
647,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
735,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
752,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.49
758,NVIDIA RTX 4000 Ada Generation,0.0,22.3,23.48
786,NVIDIA RTX 4000 Ada Generation,0.3,22.3,23.48
798,NVIDIA RTX 4000 Ada Generation,0.3,22.3,23.49
808,NVIDIA RTX 4000 Ada Generation,0.3,22.3,23.48
956,NVIDIA RTX 4000 Ada Generation,0.6,22.4,23.48
985,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
1050,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1273,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
1344,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1364,NVIDIA RTX 4000 Ada Generation,0.6,22.4,23.48
1431,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1455,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.49
1578,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1627,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.49
1638,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1697,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
1763,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
1820,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
1890,NVIDIA RTX 4000 Ada Generation,0.3,22.4,23.48
2127,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
578,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
97,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
1182,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
928,NVIDIA RTX 4000 Ada Generation,0.0,22.4,23.48
