PR,GPU Name,CPU %,Mem %,GPU %
157,NVIDIA RTX 4000 Ada Generation,1.5,22.2,43.1
279,NVIDIA RTX 4000 Ada Generation,0.0,22.4,42.73
328,NVIDIA RTX 4000 Ada Generation,0.0,22.4,42.73
329,NVIDIA RTX 4000 Ada Generation,0.0,22.5,42.74
444,NVIDIA RTX 4000 Ada Generation,0.0,22.5,42.73
493,NVIDIA RTX 4000 Ada Generation,0.0,22.7,42.74
527,NVIDIA RTX 4000 Ada Generation,0.0,22.7,42.73
576,NVIDIA RTX 4000 Ada Generation,0.3,22.7,42.73
588,NVIDIA RTX 4000 Ada Generation,0.3,22.8,42.73
623,NVIDIA RTX 4000 Ada Generation,0.6,22.8,42.73
632,NVIDIA RTX 4000 Ada Generation,0.3,22.9,42.74
638,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.74
645,NVIDIA RTX 4000 Ada Generation,0.3,22.9,42.74
647,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.73
735,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.74
752,NVIDIA RTX 4000 Ada Generation,0.3,22.9,42.75
758,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.75
786,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.74
798,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.74
808,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.73
956,NVIDIA RTX 4000 Ada Generation,0.0,22.9,42.73
985,NVIDIA RTX 4000 Ada Generation,0.3,22.9,42.74
1050,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.74
1273,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.74
1344,NVIDIA RTX 4000 Ada Generation,1.3,23.0,42.74
1364,NVIDIA RTX 4000 Ada Generation,0.3,23.0,42.74
1431,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.74
1455,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.73
1578,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.73
1627,NVIDIA RTX 4000 Ada Generation,0.3,23.0,42.74
1638,NVIDIA RTX 4000 Ada Generation,0.3,23.0,42.73
1697,NVIDIA RTX 4000 Ada Generation,0.0,23.0,42.73
1763,NVIDIA RTX 4000 Ada Generation,0.3,23.0,42.74
1820,NVIDIA RTX 4000 Ada Generation,0.0,27.4,42.74
1890,NVIDIA RTX 4000 Ada Generation,0.0,27.4,42.75
2127,NVIDIA RTX 4000 Ada Generation,0.3,27.4,42.75
578,NVIDIA RTX 4000 Ada Generation,0.6,27.4,42.74
97,NVIDIA RTX 4000 Ada Generation,0.0,27.4,42.74
1182,NVIDIA RTX 4000 Ada Generation,0.9,27.4,42.74
928,NVIDIA RTX 4000 Ada Generation,0.0,27.3,42.73
