PR,Total Model Time,Total Tokens
1200,9.708864551,82
844,10.071244957856834,72
545,13.595236477442086,70
107,17.93146069534123,64
337,10.997051185928285,104
803,12.15351899433881,92
92,15.202824279665947,62
83,8.640068536,80
1451,14.32907753251493,88
1020,10.469021238386631,86
12,15.826295545324683,64
5,8.58341602,72
1408,14.349866213276982,60
1326,9.402427877299488,76
243,9.957023215480149,76
888,10.056141038425267,66
906,22.532177252694964,64
1075,13.750884368084371,70
1102,16.585768102668226,70
1846,10.305541238747537,98
1357,11.726529789157212,88
2049,9.54163391,76
1581,9.191938444972038,74
142,9.801995867863297,82
1401,15.82550136372447,74
679,10.531805486418307,84
1385,15.849714996293187,70
765,10.564270895905793,82
743,15.167618018575013,62
1068,8.775451666675508,78
1752,34.77316466346383,64
1361,9.408480650745332,86
1827,15.911607899703085,64
1833,15.59099190775305,62
2013,8.715102480724454,76
1768,13.950315256603062,58
1549,8.732612834312022,80
636,11.593973729759455,82
641,15.873878904618323,76
1328,12.04434996843338,82
