PR,Total Model Time,Total Tokens
1200,488.65004793000116,9453
844,489.87652232103574,9574
545,539.2187592550035,10247
107,513.8702079800423,9414
337,506.1416857449949,9999
803,451.00633265399665,8768
92,500.0742258690443,9379
83,534.1599111219984,10686
1451,564.7407531219797,10873
1020,529.0383393610246,10511
12,539.7931049190374,10172
5,458.59891403399524,9160
1408,582.4397313760564,11041
1326,560.7712820779998,11186
243,406.39478448798764,8049
888,607.1700021150027,11977
906,675.844131299993,12172
1075,374.64683299801254,7156
1102,467.9631567970064,8775
1846,427.8228573889937,8564
1357,553.6540106270404,10903
2049,524.7321467909787,10436
1581,436.37087210000027,8669
142,481.49626577697927,9558
1401,565.021679959973,10714
679,569.3612645630055,11268
1385,572.5447590970143,10828
765,510.5439578629448,10078
743,542.3666552670329,10233
1068,496.6507087089849,9969
1752,585.1695420500037,9662
1361,357.79153088195017,7136
1827,654.0394692080154,12350
1833,480.7658188579953,9029
2013,396.7456193239632,7917
1768,543.7745201409707,10341
1549,541.4816245020338,10848
636,542.2437799089384,10651
641,556.4659062989958,10539
1328,538.5258174040209,10544
