PR,Total Model Time,Total Tokens
1200,7.613531799026532,80
844,7.964610349008581,72
545,11.085411184030818,64
107,15.894830473989714,66
337,7.495114235964138,86
803,8.055297264945693,60
92,13.36533910810249,68
83,6.233896784950048,74
1451,11.145550224930048,74
1020,7.697499264992075,76
12,13.674069772911025,64
5,7.896495433960808,98
1408,12.345382219937164,60
1326,7.00655334192561,70
243,7.823931777908001,76
888,8.187544277054258,68
906,20.417226338933688,64
1075,11.262950943026226,64
1102,13.88031677698018,60
1846,7.269847841002047,88
1357,8.772012021043338,76
2049,6.418433467973955,56
1581,7.731615492055425,86
142,7.735334581986535,84
1401,12.609548681008164,56
679,7.604132047941675,72
1385,13.066113733977545,60
765,7.61406113897101,70
743,13.05143359900103,62
1068,6.567136208992451,76
1752,32.54275368704111,64
1361,5.848816128098406,60
1827,13.731863931025146,64
1833,13.420649345993297,62
2013,5.931267607025802,62
1768,11.891297649039188,56
1549,6.930653377057752,86
636,8.275792648957577,62
641,13.19476134807337,68
1328,8.822719628980849,64
