PR,Total Model Time,Total Tokens
1200,516.7519376156852,10076
844,604.6487905280665,11761
545,458.0306402472779,8666
107,629.0462932866067,11525
337,508.61424379236996,9976
803,503.3853882988915,9754
92,538.1155349025503,10048
83,568.3118729609996,11208
1451,522.4601872675121,9951
1020,553.2599168745801,10836
12,559.388708432205,10394
5,563.7778567988425,11070
1408,521.8626949135214,9775
1326,568.7777219703421,11148
243,480.6526022721082,9386
888,718.3086754465476,13978
906,708.6900086561218,12673
1075,398.8572941655293,7536
1102,487.26461237762123,9028
1846,553.2913283975795,10879
1357,576.632004651241,11216
2049,529.3013694221154,10350
1581,513.5688955755904,10045
142,488.6922103622928,9544
1401,591.1132502341643,11043
679,604.2339590927586,11820
1385,674.9676593784243,12591
765,511.0257724272087,9954
743,568.2394601218402,10608
1068,504.6755282431841,9928
1752,548.2694518789649,8905
1361,340.59343133028597,6681
1827,712.3342244019732,13288
1833,449.013667486608,8326
2013,503.23001230414957,9864
1768,524.5389704061672,9846
1549,558.4476834749803,11009
636,525.9320437395945,10201
641,550.1287303073332,10296
1328,568.0247358316556,10962
