PR,Total Model Time,Total Tokens
157,13.517667327076197,66
279,19.768825540319085,70
328,6.504327884875238,62
329,23.367715569213033,70
444,8.863611543551087,78
493,6.562259290367365,66
527,9.771964107640088,98
576,13.663617060519755,68
588,22.83989925403148,62
623,7.773716143332422,74
632,23.513273124583066,70
638,8.284260785207152,88
645,18.27023064531386,64
647,12.689010482281446,80
735,17.419145486317575,64
752,13.692530491389334,62
758,8.541171442717314,76
786,39.94717105291784,64
798,12.88165193144232,82
808,9.962848415598273,88
956,17.72369346115738,58
985,22.5325847575441,64
1050,6.768504005856812,66
1273,10.313414640724659,88
1344,10.717049783095717,80
1364,11.139865770936012,80
1431,33.293475311249495,64
1455,10.517828901298344,86
1578,18.890734877437353,64
1627,11.705609266646206,52
1638,16.17228157725185,64
1697,6.711528291925788,60
1763,21.05004387628287,64
1820,36.76947151031345,64
1890,10.634712271392345,76
2127,9.265781628899276,66
578,7.0397316692397,74
97,87.45311079826206,54
1182,15.935094656422734,70
928,11.337797930464149,100
