PR,Total Model Time,Total Tokens
157,696.30638434086,9794
279,745.3595550004393,10264
328,633.5147446105257,9100
329,770.7924344139174,10413
444,616.3315157303587,8799
493,769.7559743449092,11052
527,709.7336826063693,10173
576,698.0193595997989,9902
588,834.5366050535813,11376
623,638.7640422098339,9275
632,723.7246196530759,9843
638,608.327279239893,8815
645,875.1068301200867,12292
647,871.6078895591199,12559
735,745.5499216755852,10511
752,711.6781362947077,10176
758,528.2813472468406,7682
786,872.9953837869689,10810
798,607.3299108464271,8722
808,573.4114906368777,8329
956,661.0987347755581,9299
985,602.0580673916265,8239
1050,652.6590222744271,9540
1273,570.8697469988838,8253
1344,686.7273023026064,9959
1364,603.4019941352308,8722
1431,823.8428085139021,10620
1455,758.712210319005,11032
1578,769.5225983215496,10794
1627,707.7021927675232,10202
1638,704.413024825044,10013
1697,598.1385047910735,8735
1763,687.4155014269054,9518
1820,883.8078978238627,11163
1890,498.18120162561536,7198
2127,735.6416520867497,10693
578,624.9209799673408,9156
97,871.9080324275419,8568
1182,700.141072970815,10060
928,760.6750042848289,11196
