PR,Total Model Time,Total Tokens
157,13.3747986163944,68
279,19.26294342800975,68
328,8.548255771398544,92
329,22.482747801579535,62
444,9.684034490957856,88
493,7.7426339238882065,82
527,8.921128991991282,78
576,13.064820327796042,62
588,22.500564486719668,64
623,9.127920028753579,92
632,22.71697148028761,64
638,6.276997374370694,52
645,18.500122349709272,74
647,11.51391948852688,64
735,16.873126884922385,62
752,13.061964891850948,58
758,8.266094545833766,70
786,39.24668525904417,64
798,12.185313522815704,72
808,8.740941110998392,66
956,17.461568889208138,62
985,22.085349502041936,64
1050,6.410259164869785,60
1273,9.459734140895307,72
1344,11.163059066981077,86
1364,11.099910885095596,80
1431,32.662548173218966,64
1455,9.351314219646156,66
1578,18.514797722920775,64
1627,11.630323490127921,58
1638,15.7503178184852,64
1697,7.289525773376226,70
1763,20.556470055133104,64
1820,36.09074379596859,62
1890,9.841063792817295,64
2127,8.623723682016134,58
578,8.04771500825882,86
97,85.81341575924307,50
1182,15.13389621116221,62
928,10.101200107485056,76
