PR,Total Model Time,Total Tokens
157,837.7693617679179,12226
279,820.7427868749946,11768
328,617.1664626523852,9287
329,879.0721186576411,12443
444,579.4149197600782,8678
493,804.0231768842787,12119
527,711.0657446030527,10683
576,708.1371608097106,10454
588,829.7025085687637,11778
623,755.5808465071023,11397
632,784.5631465744227,11169
638,563.8980607222766,8603
645,829.3955578124151,12248
647,744.3277024254203,11238
735,716.92399929557,10596
752,764.6862580580637,11478
758,624.0779135720804,9529
786,906.5957720745355,11776
798,683.1186909060925,10317
808,653.2826424883679,9941
956,640.49638131354,9441
985,704.5674029197544,10124
1050,525.2565178871155,8100
1273,648.922774259001,9919
1344,742.1560603380203,11301
1364,644.3330768197775,9809
1431,808.4337516753003,10922
1455,678.2058546505868,10367
1578,736.7227493990213,10875
1627,625.0232336400077,9466
1638,747.864405493252,11204
1697,501.2108798166737,7708
1763,685.9085589395836,9958
1820,892.2637865608558,11832
1890,491.18670852389187,7473
2127,727.5583628360182,11134
578,559.3556581540033,8597
97,935.5177590874955,9602
1182,818.9772980585694,12285
928,686.3095330381766,10461
